bank,sub,clip_id,usa_payload_bytes,jp_payload_bytes,usa_frames,jp_frames,usa_seconds,jp_seconds,max_payload_bytes,max_seconds,max_subfile_bytes,max_region,max_header_patch,max_flag_patch
1513,6,859a,11904,14592,744,912,0.868000,1.064000,14592,1.064000,18432,jp,14:00;15:39;3d:40;85:3f;90:00;91:39;94:00;95:39;b0:40;b1:40,38c1:01;38d1:07
1513,7,859b,12544,14336,784,896,0.914667,1.045333,14336,1.045333,16384,jp,14:c0;15:37;3d:3f;85:3b;91:38;94:c0;95:37;b0:40;b1:40,37a1:01;37b1:07
1513,8,859c,45568,44416,2848,2776,3.322667,3.238667,45568,3.322667,49152,usa,,b1a1:01;b1b1:07
1513,9,859d,16256,21120,1016,1320,1.185333,1.540000,21120,1.540000,24576,jp,14:40;15:52;3d:5c;85:57;91:52;94:40;95:52;b0:40;b1:40,5221:01;5231:07
1513,10,859e,57216,59648,3576,3728,4.172000,4.349333,59648,4.349333,63488,jp,14:00;15:e9;3d:82;3e:05;85:ef;90:00;91:e9;94:00;95:e9;b0:40;b1:40,e8b1:01;e8c1:07
1513,11,859f,35584,35840,2224,2240,2.594667,2.613333,35840,2.613333,38912,jp,14:00;15:8c;3e:1d;91:8c;94:00;95:8c;b0:40;b1:40,8bc1:01;8bd1:07
1513,12,85a0,10496,7296,656,456,0.765333,0.532000,10496,0.765333,14336,usa,,2891:01;28a1:07
1513,13,85a1,66944,69888,4184,4368,4.881333,5.096000,69888,5.096000,73728,jp,14:c0;15:10;3e:31;85:17;90:00;91:11;94:c0;95:10;b0:40;b1:40,11071:01;11081:07
1513,14,85a2,70272,86656,4392,5416,5.124000,6.318667,86656,6.318667,90112,jp,14:40;15:52;3e:7b;85:57;91:52;94:40;95:52;b0:40;b1:40,151f1:01;15201:07
1513,15,85a3,71296,70912,4456,4432,5.198667,5.170667,71296,5.198667,73728,usa,,115f1:01;11601:07
1513,16,85a4,19072,13184,1192,824,1.390667,0.961333,19072,1.390667,22528,usa,,4a41:01;4a51:07
1513,17,85a5,37760,32768,2360,2048,2.753333,2.389333,37760,2.753333,40960,usa,,9331:01;9341:07
